,Id,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,Authority,Hub,componentnumber,strongcompnum,clustering,eigencentrality,screen_name
687,CllrSam,2,0,2,2701,0,2701,0,0,0,0,41,4.90E-05,0.000238,0,0,855,0,0.011522,graeme_currie1
688,LabLondon_zone,22,0,22,93248,0,93248,0,0,0,0,149,9.30E-05,0.024041,0,0,854,0,0.145333,Sandmartyn
689,MargaretMacke18,1,0,1,61,0,61,0,0,0,0,41,4.70E-05,0.000192,0,0,853,0,0.005761,craig4nwarks
690,RachChall89,1,0,1,22,0,22,0,0,0,0,41,4.70E-05,0.000192,0,0,852,0,0.005761,AndyFitchet
691,NelsonBrenner6,2,0,2,3470,0,3470,0,0,0,0,41,4.90E-05,0.000339,0,0,851,0,0.011522,BrianMathew4NW
692,Suepato45,1,0,1,38,0,38,0,0,0,0,41,4.70E-05,0.000192,0,0,850,0,0.005761,Sally_Keeble
693,DavidBloor2,1,0,1,1860,0,1860,0,0,0,0,41,4.70E-05,0.000192,0,0,849,0,0.005761,robina4labour17
694,McGarrigleandCo,1,0,1,388,0,388,0,0,0,0,41,4.70E-05,0.000192,0,0,848,0,0.005761,jhalcrojohnston
695,SuzanneBrookfie,1,0,1,1074,0,1074,0,0,0,0,41,4.70E-05,0.000192,0,0,847,0,0.005761,alexfeakes
696,DocRods,1,0,1,1931,0,1931,0,0,0,0,41,4.70E-05,0.000192,0,0,846,0,0.005761,cllrbartington
697,jonty_shaw,1,0,1,152,0,152,0,0,0,0,41,4.70E-05,0.000192,0,0,845,0,0.005761,DrKirstenJ
698,andydwilson_,1,0,1,55,0,55,0,0,0,0,41,4.70E-05,0.000192,0,0,844,0,0.005761,disruptordavies
699,AKingWarrington,1,0,1,3796,0,3796,0,0,0,0,41,4.70E-05,0.000192,0,0,843,0,0.005761,Lola__McEvoy
700,westminster_mag,1,0,1,233,0,233,0,0,0,0,41,4.70E-05,0.000192,0,0,842,0,0.005761,RoryStewartUK
701,kazdeanie,1,0,1,2442,0,2442,0,0,0,0,41,4.70E-05,0.000192,0,0,841,0,0.005761,FlickD
702,brianroberts111,1,0,1,69,0,69,0,0,0,0,41,4.70E-05,0.000192,0,0,840,0,0.005761,SCrabbPembs
703,cutter78,2,0,2,8492,0,8492,0,0,0,0,41,4.90E-05,0.000231,0,0,839,0,0.011522,StuartAndrew
704,ShoutCrewe,1,0,1,2076,0,2076,0,0,0,0,41,4.70E-05,0.000192,0,0,838,0,0.005761,JustineGreening
705,JoeMcC27,1,0,1,291,0,291,0,0,0,0,41,4.70E-05,0.000192,0,0,837,0,0.005761,cgallppc
706,GallimoreJamie,1,0,1,408,0,408,0,0,0,0,41,4.70E-05,0.000192,0,0,836,0,0.005761,susanjuned
707,username__emily,1,0,1,125,0,125,0,0,0,0,41,4.70E-05,0.000192,0,0,835,0,0.005761,KellyTolhurst
708,MiddlewichLabor,2,0,2,474,0,474,0,0,0,0,85,4.90E-05,0.000238,0,0,834,0,0.011522,carolinenokes
709,TeldurUK,1,0,1,414,0,414,0,0,0,0,41,4.70E-05,0.000192,0,0,833,0,0.005761,IanBlackfordMP
710,ASJSimpson,0,4,4,0,11552,11552,1,1,1,0,75,4.60E-05,0,0.000641,0,874,0,0,alysonbarnes17
711,DaventryLibDems,2,0,2,1140,0,1140,0,0,0,0,75,5.70E-05,0.000188,0,0,873,0,0.011522,JakeBerry
712,theunrealmartin,1,0,1,236,0,236,0,0,0,0,75,5.60E-05,4.60E-05,0,0,872,0,0.005761,MarkPawsey
713,PSukhu,2,0,2,2468,0,2468,0,0,0,0,75,5.70E-05,0.005546,0,0,871,0,0.011522,SWLabour
714,MartynDaySNP,0,9,9,0,81411,81411,1,1,1,0,104,4.60E-05,0,0.003244,0,882,0,0,nadams
715,pepfusterbm,2,0,2,4910,0,4910,0,0,0,0,104,5.20E-05,0.000301,0,0,881,0,0.011522,drcarolinej
716,brianmelliott,2,0,2,2432,0,2432,0,0,0,0,104,5.20E-05,0.000301,0,0,880,0,0.011522,RossDPepper
717,labour1969,20,0,20,82278,0,82278,0,0,0,0,68,8.70E-05,0.036123,0,0,879,0,0.122522,GreenSomFrome
718,MrJasonThompson,1,0,1,593,0,593,0,0,0,0,104,5.10E-05,0.000233,0,0,878,0,0.005761,reetenbanerji
719,Gerard1960,1,0,1,674,0,674,0,0,0,0,104,5.10E-05,0.000233,0,0,877,0,0.005761,ChrisHazzardSF
720,mamallysson,1,0,1,2152,0,2152,0,0,0,0,104,5.10E-05,0.000233,0,0,876,0,0.005761,juliacambridge1
721,LeeMartin113,8,0,8,53861,0,53861,0,0,0,0,3,5.90E-05,0.0043,0,0,875,0.017857,0.049739,AlbertoCostaMP
722,andymstrange,0,7,7,0,3436,3436,1,1,1,0,75,4.60E-05,0,4.00E-06,0,890,0,0,ShirleyFord15
